name,address,city,phone,fax,status,capital,latitude,longitude,activity
Negoce entreprise etude  (NEE),53 Rue Melouiya Appt N2 - Rabat,Rabat,,[],Société Anonyme,10 000  DHS,33.99756,-6.84783,negociant
Sohagrima  (SOMAGRIMA),19 Oued Fes - Rabat,Rabat,,[],Société à Responsabilité Limitée,100 000  DHS,34.00244,-6.84881,marchand effectuant import-export
Nador (ste immobiliere),Residence De Sar Le Prince Moulay Abdellah - Rabat,Rabat,,[],Société Anonyme,20 000  DHS,34.018841,-6.834015,effectuant speculations immobilieres
Nador iii (ste immobiliere),Residence De Sar Le Prince Moulay Abdellah - Rabat,Rabat,,[],Société Anonyme,20 000  DHS,34.018841,-6.834015,effectuant speculations immobilieres
Bi diffusion (ste),47 Angle Rue Sebou Et Avenue Al Abtal N28 - Rabat,Rabat,,[],Société Anonyme,100 000  DHS,34.00286,-6.847615,negociant
Newtel (ste),16 Michlifen Ap N1 - Rabat,Rabat,,[],Société à Responsabilité Limitée,10 000  DHS,33.99401,-6.84918,marchand importateur (materiel informatique)
Smasyg  (SMASYG),"402, Rue Beni Jaber Hay Nahda I - Rabat",Rabat,,[],Société à Responsabilité Limitée,700 000  DHS,34.015049,-6.832719999999995,marchand d'appareils sanitaires et entrepreneur de travaux divers ou construction
Rosalia  (ROSALIA),31 Im Aries Rue Amir Abdelkader - Rabat,Rabat,,[],Société Anonyme,100 000  DHS,33.990637,-6.85354,entrepreneur de la gestion d'exploitation agricoles
Yassinia de restauration,Hay Afrasse N 3 - Zaio (M),Zaio (M),,[],Société en Nom Collectif,900 000  DHS,34.936352,-2.73183,salon de the
Maghrebine de conditionnement d'air et de plomberie (ste)  (SMACAIR),Avenue Madagascar Rue Abdelkrim Diouri Im Ghandouri N36 - Rabat,Rabat,,[],Société à Responsabilité Limitée,50 000  DHS,34.015445,-6.852462,"entrepreneur d'installations sanitaires (plomberie, chauffage, ventilation...)"
Naceria travaux marbre et granit,N115 Rue Admim Ait Melloul - Inezgane- Ait Melloul,Inezgane- Ait Melloul,,[],Société à Responsabilité Limitée à Associé Unique,50 000  DHS,30.341987,-9.502322,travaux divers
El badaoui & bouargane des travaux,Hay Toudli Centre De Khimss Ait Amira Chtouka Ait Baha - Inezgane- Ait Melloul,Inezgane- Ait Melloul,,[],Société à Responsabilité Limitée,100 000  DHS,35.572464,-5.375723,"travaux de construction, travaux divers"
Fast service desk,Rue Ben Benna N14 N1 - Tanger-Assilah,Tanger-Assilah,,['0539938026'],Société à Responsabilité Limitée,10 000  DHS,35.77949,-5.80595,"la reparation, l'entretien du materiel informatique soit ou sein de la ste soit a domicile, l'industrie et la commercialisation de tout sorte du materiel informatique specialement la production, la conception, la realisation et la commercialisation de produits informatiques, logiciels et materiels"
Le boudoir d'orient,"Angle Avenues Mohamed Vi Et Lalla Fatima Laâzizia, Rés. « Baie De Tanger » - Tanger-Médina (AR)",Tanger-Médina (AR),,[],Société à Responsabilité Limitée,100 000  DHS,35.7666667,-5.7999999999999545,machand de meubles et objets de decoration
Bosphorus,"Route Rgaia, Haoumat Draoua, N�5 - Tanger-Médina (AR)",Tanger-Médina (AR),,[],Société à Responsabilité Limitée,300 000  DHS,35.75727486,-5.797729935,"negoce international, fabrication, construction metallique, services"
